time_ms,vib_count,temp_c,humidity
1000,12,40.60,21.00
2007,16,40.60,21.00
3007,19,40.30,21.00
4007,16,40.30,21.00
5014,21,40.90,20.00
6014,17,40.90,20.00
7014,24,40.90,20.00
8023,26,40.90,20.00
9023,25,40.60,20.00
10023,9,40.60,20.00
11027,14,40.40,20.00
12027,13,40.40,20.00
13027,12,40.80,20.00
14027,6,40.80,20.00
15027,11,40.50,20.00
16027,13,40.50,20.00
17027,16,40.70,20.00
18027,9,40.70,20.00
19027,22,40.80,20.00
20027,9,40.80,20.00
21027,14,40.60,20.00
22027,19,40.60,20.00
23035,19,40.00,20.00
24040,15,40.00,20.00
25040,20,40.10,20.00
26040,20,40.10,20.00
27040,17,40.00,20.00
28040,11,40.00,20.00
29040,18,40.70,20.00
30040,21,40.70,20.00
31040,20,40.10,20.00
32040,13,40.10,20.00
33040,4,40.00,20.00
34040,16,40.00,20.00
35040,19,40.50,20.00
36040,11,40.50,20.00
37040,11,40.20,20.00
38040,13,40.20,20.00
39040,13,40.30,20.00
40040,16,40.30,20.00
41041,16,40.00,20.00
42041,19,40.00,20.00
43041,31,40.00,20.00
44045,33,40.00,20.00
45045,28,40.20,20.00
46045,12,40.20,20.00
47045,19,40.40,20.00
48045,17,40.40,20.00
49054,22,40.70,20.00
50054,34,40.70,20.00
51054,24,40.70,20.00
52062,15,40.70,20.00
53062,13,40.30,20.00
54062,16,40.30,20.00
55062,14,40.40,20.00
56062,17,40.40,20.00
57062,16,40.00,20.00
58062,13,40.00,20.00
59062,5,40.40,20.00
60062,12,40.40,20.00
61063,16,40.00,20.00
62063,24,40.00,20.00
63063,23,40.60,20.00
64063,14,40.60,20.00
65063,13,40.40,20.00
66063,12,40.40,20.00
67063,11,40.90,20.00
68063,10,40.90,20.00
69063,6,40.00,20.00
70063,6,40.00,20.00
71063,16,40.80,20.00
72064,15,40.80,20.00
73064,27,40.40,20.00
74064,12,40.40,20.00
75064,15,40.40,20.00
76064,15,40.40,20.00
77064,19,40.30,20.00
78067,16,40.30,20.00
79067,14,40.10,20.00
80067,18,40.10,20.00
81067,12,40.30,20.00
82067,17,40.30,20.00
83077,17,40.90,20.00
84077,11,40.90,20.00
